Id,Name,Amount,Timestamp
5d9cb0b5-8ed4-4b5f-b5cc-096670ff0dd4,paddy power,28.00,02/06/2019 00:00:00
f2c0ad88-525d-4f5c-8629-ba64ce1eb7b2,William Hill,35.00,01/06/2019 01:21:00
3a67dee0-d855-48b1-a25f-b7ceead5525e,Smarkets,53.11,03/06/2019 00:00:00
be62db7c-2481-4eef-a685-203fcf86af71,unibet,144.20,03/06/2019 00:00:00
4e1e0488-1dd7-4cf4-b144-7178539e4edd,Betway,55.00,04/06/2019 00:00:00
f2c0ad88-525d-4f5c-8629-ba64ce1eb7b2,William Hill,67.50,04/06/2019 17:35:00
5d9cb0b5-8ed4-4b5f-b5cc-096670ff0dd4,paddy power,20.00,02/06/2019 00:00:00
160e8048-4830-46f5-959d-893a46e24052,bet365,52.00,04/06/2019 00:00:00
b239164f-e52b-4577-9af3-727ea91257cc,Betfair,5.00,04/06/2019 00:00:00
be62db7c-2481-4eef-a685-203fcf86af71,unibet,62.10,05/06/2019 00:00:00
be62db7c-2481-4eef-a685-203fcf86af71,unibet,103.60,06/06/2019 00:00:00
f2c0ad88-525d-4f5c-8629-ba64ce1eb7b2,William Hill,34.55,06/06/2019 14:04:00
2a1a9de1-f184-4da2-b87c-e5b48e8169db,Ladbrokes,73.00,06/06/2019 00:00:00
cb3b6171-b957-4e41-9860-4308de03b093,sportingbet,22.50,06/06/2019 00:00:00
9153c15c-2a0c-41fd-8b91-ec0491475b35,Betstars,70.00,08/08/2019 22:15:00
