BetId,BetGroupId,Bookie,BookieId,Win,Event,Date settled
2cad686a-d5e3-49b6-a304-06a4de0a37d3,2da5747e-d75d-4098-8e9f-e492b9e166db,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,sunderland to beat burton,09/04/2019 00:00:00
ce342315-ec05-4c80-88a9-da7780a9da88,d050688e-595d-4784-8ded-01bae1678992,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,ajax juve draw,10/04/2019 00:00:00
2caeeaae-e9d3-45e9-86f5-b581e05bd0b3,9d8bbee8-19f9-4147-89cf-1bc9db61c8b0,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,benfica frankfurt draw,11/04/2019 00:00:00
3a152d5e-ac9b-4201-8ebe-11afa52619bd,2302fe56-545d-4326-b7f1-fbf9d78ed3c8,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,aubameyang first scorer vs napoli,11/04/2019 00:00:00
5d399c86-e57f-4b4c-bebe-c098f1f6ddaa,b1609e9f-b152-4a55-9065-df3d7587f78a,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,strasbourg to beat guigamp,14/04/2019 00:00:00
85deb678-4a83-4d84-a27d-c7c6864779f4,f91dbcc9-ed45-4902-8076-329a7929ba7b,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,chelsea to win first half vs slavia prague,11/04/2019 00:00:00
e008be51-dca1-411d-97d3-d887572688dc,250ce967-2806-497b-b378-b9654caf7ba6,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,exeter to beat port vale,13/04/2019 00:00:00
5385abf7-0ee1-400a-8666-f3d75c19b968,4b19c153-00b2-4bef-91ed-4b050505b434,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,wolves to beat southampton,13/04/2019 00:00:00
4a4310c0-71f6-416a-8802-6338cf27423f,68877af8-9ba2-437e-a021-a184de54f8f9,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,leipzig to beat wolfburg,13/04/2019 00:00:00
fa13ccc5-6b59-4141-95e7-eed2dc596bbf,58955bc6-1955-4390-91e9-e1fefcf4eebf,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,leicester to beat newcastle,12/04/2019 00:00:00
772962d8-4484-402f-b75e-dd18bca59f84,a6503cd4-9917-40de-9788-0a877651c932,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,chelsea to beat prageue,11/04/2019 00:00:00
77f09e7d-3cf8-47ba-b254-3e5957b0ca60,938a9caf-9c91-4570-8267-f19f443f0976,Betfair,b239164f-e52b-4577-9af3-727ea91257cc,TRUE,barnsley to beat fleetwood,13/04/2019 00:00:00
7a124d43-ea09-44ed-b07c-61a098eaa16c,a0703ba5-e157-447a-aa68-70ba7c7fe24d,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,port vale to beat exeter,13/04/2019 00:00:00
d5521e69-7068-4f82-b4c5-93344c6acff5,856a2cf1-24f1-4b10-85a1-7e4f02993311,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,chelsea to beat liverpool,14/04/2019 00:00:00
42570126-7e77-42d5-adde-c49890c41a04,1fca88fa-6117-4737-94a6-0d87580b44cb,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,chelsea to beat liverpool,14/04/2019 00:00:00
291179e6-b45d-4d67-b14c-512696c40c33,0e8166db-eb43-49db-b14c-10874ca17465,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,nantes psg draw,17/04/2019 00:00:00
74d7e5ef-42cd-4bcc-9eae-f83125063985,49310cf3-97a6-46bd-bec5-a3f533b664da,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,udinese to beat roma,13/04/2019 00:00:00
8cad6ddb-4729-47fb-ab3c-69b3911416b9,d9e1d5bb-a51b-47e3-9bb7-cfdf5c4d232a,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,betis to beat sevilla,13/04/2019 00:00:00
8c25af0e-ae67-4e21-b6b5-0afcf948b889,24895371-1da3-4b9f-96ac-befb9b376d44,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,brighton to beat bournemouth,13/04/2019 00:00:00
6f27c79b-b21e-488b-acf4-3421dbd52f4e,4476eb8b-d6c4-417c-8e58-c660222cba99,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,arsenal to beat watford,15/04/2019 00:00:00
c0e37392-cdfa-4322-9f22-72a36b283046,7e386589-487d-4199-9c5a-bd9d6053fda5,Betfair,b239164f-e52b-4577-9af3-727ea91257cc,TRUE,celta vigo to beat girona,20/04/2019 00:00:00
e95b5077-2129-4a49-8eeb-451b38ba7874,35efa984-5d94-40d7-a8a7-042bdf276c63,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,augsberg to beat stutgart,20/04/2019 00:00:00
20801c53-6ac6-4250-b2c7-3e4ccc0286d9,e558b04b-fe84-4b09-82f6-dcc538720aa1,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,benzema first goalscroer vs leganes,15/04/2019 00:00:00
68ad9f94-8b43-4036-887c-7b17293d0d8d,05b1b512-ebb9-43ac-8a85-bc01a03331d6,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,atalanta empoli draw,15/04/2019 00:00:00
8329e55e-dc11-47c8-b3ba-f100648c57e9,6dade288-5727-4a88-a651-a993451d24c3,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,brighton cardiff draw,16/04/2019 00:00:00
e1215432-9e75-4aac-9d4f-a5704f2b3d35,673ee461-4df2-4207-a734-e9af95b3f49b,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,koln to beat hamburg,15/04/2019 00:00:00
72fdf57f-3dad-489f-afe5-8c0b749fd4c2,cd0b1254-d1f2-40ea-ba72-df6b6b9711ab,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,watford arsenal btts,15/04/2019 00:00:00
1268e5ec-d6ba-44f9-9f8e-93ed7b1e16ef,82f04962-9ae1-46b6-a6e1-68222d1016aa,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,utd barca draw,16/05/2019 00:00:00
5d930e60-4e13-47b3-8f27-860e486ae078,4e38c207-f152-48fc-91ec-9b60d69857e2,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,juve ajax draw/draw,16/04/2019 00:00:00
a0f7c77d-fdba-4748-89a0-2e9f212a57a9,0db6f70b-e967-43d5-8eda-fc4259546d37,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,barca utd draw,16/04/2019 00:00:00
b1a5c37b-e99a-4815-83bb-7d3480868f9a,9f30651d-5df0-48f5-9dc2-ef87c1c8cb60,Betfair,b239164f-e52b-4577-9af3-727ea91257cc,TRUE,barca utd over 2.5 goals,16/04/2019 00:00:00
28585f13-c653-4e14-80bc-fed51632a251,4c11693e-3cde-4e22-884b-031b6a208c5f,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,barca to beat utd,16/04/2019 00:00:00
f4df42ca-7ae1-466f-ad0d-a6a1110af4e2,975a7d58-268f-4b26-909e-e0cd0d0a137d,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,juve to beat ajax,16/04/2019 00:00:00
